date_key,date,date_id,day_name,day_name_abbrev,day_of_month,day_of_week,day_of_year,holiday_name,is_holiday,is_weekday,is_weekend,month_abbrev,month_end_flag,month_name,month_number,quarter,quarter_name,quarter_short_name,season,week_begin_date,week_begin_date_id,week_num_in_month,week_num_in_year,year,year_and_month,year_and_month_abbrev,year_and_quarter
338,2020-12-04,20201204,Friday,Fri,4,6,339,NoHoliday,False,True,False,Dec,False,December,12,4,Fourth,Q4,Fall,2020-11-28,20201128,1,48,2020,2020/12,2020/Dec,2020/Q4
339,2020-12-05,20201205,Saturday,Sat,5,7,340,NoHoliday,False,False,True,Dec,False,December,12,4,Fourth,Q4,Fall,2020-11-28,20201128,1,48,2020,2020/12,2020/Dec,2020/Q4
340,2020-12-06,20201206,Sunday,Sun,6,1,341,NoHoliday,False,False,True,Dec,False,December,12,4,Fourth,Q4,Fall,2020-12-06,20201206,2,49,2020,2020/12,2020/Dec,2020/Q4
341,2020-12-07,20201207,Monday,Mon,7,2,342,NoHoliday,False,True,False,Dec,False,December,12,4,Fourth,Q4,Fall,2020-12-05,20201205,2,49,2020,2020/12,2020/Dec,2020/Q4
342,2020-12-08,20201208,Tuesday,Tue,8,3,343,NoHoliday,False,True,False,Dec,False,December,12,4,Fourth,Q4,Fall,2020-12-05,20201205,2,49,2020,2020/12,2020/Dec,2020/Q4
343,2020-12-09,20201209,Wednesday,Wed,9,4,344,NoHoliday,False,True,False,Dec,False,December,12,4,Fourth,Q4,Fall,2020-12-05,20201205,2,49,2020,2020/12,2020/Dec,2020/Q4
344,2020-12-10,20201210,Thursday,Thu,10,5,345,NoHoliday,False,True,False,Dec,False,December,12,4,Fourth,Q4,Fall,2020-12-05,20201205,2,49,2020,2020/12,2020/Dec,2020/Q4
345,2020-12-11,20201211,Friday,Fri,11,6,346,NoHoliday,False,True,False,Dec,False,December,12,4,Fourth,Q4,Fall,2020-12-05,20201205,2,49,2020,2020/12,2020/Dec,2020/Q4
346,2020-12-12,20201212,Saturday,Sat,12,7,347,NoHoliday,False,False,True,Dec,False,December,12,4,Fourth,Q4,Fall,2020-12-05,20201205,2,49,2020,2020/12,2020/Dec,2020/Q4
347,2020-12-13,20201213,Sunday,Sun,13,1,348,NoHoliday,False,False,True,Dec,False,December,12,4,Fourth,Q4,Fall,2020-12-13,20201213,3,50,2020,2020/12,2020/Dec,2020/Q4
